Key,Category,Type (observed),คำอธิบายสำหรับ End User,ความหมาย (TH),หลักฐานใน repo
activity_type_login_count,Activity,number,จำนวนกิจกรรม login,จำนวน event ของ activity_type ที่ถูก slug เป็น login ภายใน window (นับเฉพาะ top-6 activity types ในข้อมูล),src/features.py::_slug src/features.py::_compute_activity_features
activity_type_product_consume_uniquecode_completion_rate,Activity,number,อัตราสำเร็จ product_consume_uniquecode,completion rate ของ activity_type ที่ถูก slug เป็น product_consume_uniquecode ภายใน window (completed/count สำหรับ type นั้น),src/features.py::_slug src/features.py::_compute_activity_features
activity_type_product_consume_uniquecode_count,Activity,number,จำนวนกิจกรรม product_consume_uniquecode,จำนวน event ของ activity_type ที่ถูก slug เป็น product_consume_uniquecode ภายใน window (นับเฉพาะ top-6 activity types ในข้อมูล),src/features.py::_slug src/features.py::_compute_activity_features
activity_type_referral_completion_rate,Activity,number,อัตราสำเร็จ referral,completion rate ของ activity_type ที่ถูก slug เป็น referral ภายใน window (completed/count สำหรับ type นั้น),src/features.py::_slug src/features.py::_compute_activity_features
activity_type_referral_count,Activity,number,จำนวนกิจกรรม referral,จำนวน event ของ activity_type ที่ถูก slug เป็น referral ภายใน window (นับเฉพาะ top-6 activity types ในข้อมูล),src/features.py::_slug src/features.py::_compute_activity_features
activity_type_registration_completion_rate,Activity,number,อัตราสำเร็จ registration,completion rate ของ activity_type ที่ถูก slug เป็น registration ภายใน window (completed/count สำหรับ type นั้น),src/features.py::_slug src/features.py::_compute_activity_features
activity_type_registration_count,Activity,number,จำนวนกิจกรรม registration,จำนวน event ของ activity_type ที่ถูก slug เป็น registration ภายใน window (นับเฉพาะ top-6 activity types ในข้อมูล),src/features.py::_slug src/features.py::_compute_activity_features
activity_type_top_share,Activity,number,ความกระจุกประเภทกิจกรรม,สัดส่วนของ activity_type ที่มากที่สุด (top share) ใน window (top-6 types),src/features.py::_entropy_and_top_share src/features.py::_compute_activity_features
activity_type_upload_receipts_completion_rate,Activity,number,อัตราสำเร็จ upload_receipts,completion rate ของ activity_type ที่ถูก slug เป็น upload_receipts ภายใน window (completed/count สำหรับ type นั้น),src/features.py::_slug src/features.py::_compute_activity_features
activity_type_upload_receipts_count,Activity,number,จำนวนกิจกรรม upload_receipts,จำนวน event ของ activity_type ที่ถูก slug เป็น upload_receipts ภายใน window (นับเฉพาะ top-6 activity types ในข้อมูล),src/features.py::_slug src/features.py::_compute_activity_features
aov_net,Commerce,number,มูลค่าต่อบิลเฉลี่ย,Average Order Value (สุทธิ) ใน window (gmv_net / transaction_count),src/features.py::_compute_commerce_features
attribution_warnings,QA,array,คำเตือน,"รายการ warning strings ระหว่างสร้าง/validate target segments (เช่น noisy_metric, commerce_mode_block)",src/infer.py::_build_target_segments_for_row src/infer.py::_validate_target_segments_row
avg_events_per_active,Engagement,number,อีเวนต์ต่อผู้ใช้,"ค่าเฉลี่ย event ต่อ active user ใน window (total_events / max(active_users, 1))",src/features.py::_compute_engagement_features
brand_id,Identifiers,string,แบรนด์,ตัวระบุแบรนด์ (brand identifier) ที่ถูก assign จาก app_id ตาม mapping ใน pipeline,run_pipeline.py::BRAND_APP_ID_FILTERS src/data_load.py::load_tables
buyers,Commerce,number,จำนวนผู้ซื้อ,จำนวนผู้ซื้อ (unique buyers) ใน window (ผู้ใช้ที่มี purchase อย่างน้อย 1 ครั้งในช่วง window),src/features.py::_simulate_repeat_purchase_rate src/features.py::_compute_commerce_features
commerce_joinable_x,Joinability,number,เชื่อมข้อมูลซื้อได้ (x),ธง (0/1) ว่าแบรนด์นี้ “join purchase↔purchase_items เชิง commerce ใช้ได้” (คอลัมน์จาก feature table; suffix _x เกิดจากการ merge ที่มีชื่อคอลัมน์ซ้ำ),src/data_load.py::build_purchase_item_join_diagnostics src/features.py::build_feature_table src/infer.py::predict_with_drivers
commerce_joinable_y,Joinability,number,เชื่อมข้อมูลซื้อได้ (y),ธง (0/1) ว่าแบรนด์นี้ “join purchase↔purchase_items เชิง commerce ใช้ได้” (คอลัมน์จาก segment KPIs; suffix _y เกิดจากการ merge ที่มีชื่อคอลัมน์ซ้ำ),src/data_load.py::build_purchase_item_join_diagnostics src/segments.py::compute_segment_kpis src/infer.py::predict_with_drivers
confidence_band,Model,string,ระดับความมั่นใจ,ระดับความมั่นใจ: high\|medium\|low (พิจารณาจาก top prob และ margin),src/infer.py::_confidence_row src/infer.py::predict_with_drivers
confidence_margin,Model,number,ความต่างอันดับ 1-2,ส่วนต่าง (margin) ระหว่าง top probability กับ second probability,src/infer.py::_confidence_row src/infer.py::predict_with_drivers
confidence_top_probability,Model,number,ความน่าจะเป็นสูงสุด,ค่า probability ของคลาสที่สูงสุดในแถวนั้น,src/infer.py::_confidence_row src/infer.py::predict_with_drivers
delivered_rate,Commerce,number,อัตราส่งสำเร็จ,สัดส่วน item ที่ delivered ใน window (rolling mean ของ boolean purchase_items.delivered),src/features.py::_compute_commerce_features
discount_rate,Commerce,number,อัตราส่วนลด,อัตราส่วนลดใน window ((gmv_sell - gmv_net) / gmv_sell),src/features.py::_compute_commerce_features
dormant_share,Engagement,number,สัดส่วนผู้ใช้ไม่เคลื่อนไหว,สัดส่วนผู้ใช้ที่ dormant สำหรับ window นั้น (นิยามในโค้ด: สัดส่วนผู้ใช้ที่ recency_days >= window_size_days),src/features.py::_compute_engagement_features
dormant_share_delta_window,Total Delta,number,สัดส่วนผู้ใช้ไม่เคลื่อนไหว เปลี่ยนจากช่วงก่อน,ค่าเปลี่ยนแปลงของ dormant_share เทียบ window ก่อนหน้า (current - prev_window),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
dormant_share_mom_pct,Trends,number,สัดส่วนผู้ใช้ไม่เคลื่อนไหว เทียบ 4 ช่วง,เปอร์เซ็นต์เปลี่ยนเทียบ 4 windows ก่อนหน้า (period=4) ของ dormant_share ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
dormant_share_prev_window,Total Delta,number,สัดส่วนผู้ใช้ไม่เคลื่อนไหว ค่าเดิมช่วงก่อน,ค่า dormant_share ของ window ก่อนหน้า (shift=1 ภายใน brand_id+window_size),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
dormant_share_volatility,Trends,number,สัดส่วนผู้ใช้ไม่เคลื่อนไหว ความผันผวน,ความผันผวน = rolling_std / abs(rolling_mean) ของ dormant_share ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
dormant_share_wow_pct,Trends,number,สัดส่วนผู้ใช้ไม่เคลื่อนไหว เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนเทียบ window ก่อนหน้า (period=1) ของ dormant_share ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
dormant_share_wow_pct_window,Total Delta,number,สัดส่วนผู้ใช้ไม่เคลื่อนไหว %เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนของ dormant_share เทียบ window ก่อนหน้า (delta/prev_window เมื่อ prev!=0; ไม่เช่นนั้นเป็น null),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
dormant_share_zscore,Trends,number,สัดส่วนผู้ใช้ไม่เคลื่อนไหว ผิดปกติเทียบฐาน,z-score เทียบ baseline แบบ rolling ของ dormant_share ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
drivers,Explainability,array,เหตุผลหลัก,รายการ driver objects (เหตุผล) ที่ attach เข้าแต่ละแถว (rule-based + model-importance),src/drivers.py::attach_drivers src/infer.py::predict_with_drivers
gmv_net,Commerce,number,GMV สุทธิ,"GMV สุทธิใน window (ใช้ purchase_items คำนวณเมื่อ joinable, ไม่เช่นนั้น fallback เป็น purchase.net_amount)",src/features.py::_compute_commerce_features
gmv_net_delta_window,Total Delta,number,GMV สุทธิ เปลี่ยนจากช่วงก่อน,ค่าเปลี่ยนแปลงของ gmv_net เทียบ window ก่อนหน้า (current - prev_window),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
gmv_net_mom_pct,Trends,number,GMV สุทธิ เทียบ 4 ช่วง,เปอร์เซ็นต์เปลี่ยนเทียบ 4 windows ก่อนหน้า (period=4) ของ gmv_net ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
gmv_net_prev_window,Total Delta,number,GMV สุทธิ ค่าเดิมช่วงก่อน,ค่า gmv_net ของ window ก่อนหน้า (shift=1 ภายใน brand_id+window_size),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
gmv_net_volatility,Trends,number,GMV สุทธิ ความผันผวน,ความผันผวน = rolling_std / abs(rolling_mean) ของ gmv_net ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
gmv_net_wow_pct,Trends,number,GMV สุทธิ เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนเทียบ window ก่อนหน้า (period=1) ของ gmv_net ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
gmv_net_wow_pct_window,Total Delta,number,GMV สุทธิ %เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนของ gmv_net เทียบ window ก่อนหน้า (delta/prev_window เมื่อ prev!=0; ไม่เช่นนั้นเป็น null),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
gmv_net_zscore,Trends,number,GMV สุทธิ ผิดปกติเทียบฐาน,z-score เทียบ baseline แบบ rolling ของ gmv_net ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
gmv_per_active,Derived,number,GMV ต่อผู้ใช้,GMV ต่อ active user ใน window (gmv_net / active_users),src/features.py::_add_relative_and_trend_features
gmv_sell,Commerce,number,GMV ก่อนลด,"GMV ก่อนส่วนลดใน window (ใช้ purchase_items.price_sell เมื่อ joinable, ไม่เช่นนั้น fallback เป็น purchase.subtotal_amount)",src/features.py::_compute_commerce_features
items_per_transaction,Commerce,number,ชิ้นต่อบิล,จำนวนชิ้นต่อธุรกรรมใน window (items_sold / transaction_count โดย items อาจมาจาก purchase_items.quantity หรือ fallback purchase.itemsold),src/features.py::_compute_commerce_features
label_health_class,Labels,string,label คลาส (ฝึกโมเดล),คลาส label จาก weak labeling: Healthy/Warning/AtRisk,src/labeling.py::generate_weak_labels
label_health_class_int,Labels,number,label คลาสตัวเลข,"label แบบตัวเลข: AtRisk=0, Warning=1, Healthy=2",src/labeling.py::generate_weak_labels
label_health_score,Labels,number,label คะแนน (ฝึกโมเดล),คะแนน health label (0–100) ที่สร้างจาก heuristic (weak supervision),src/labeling.py::generate_weak_labels
new_user_share,Derived,number,สัดส่วนผู้ใช้ใหม่,สัดส่วนผู้ใช้ใหม่ต่อ active users ใน window (new_users / active_users),src/features.py::_add_relative_and_trend_features
new_users,Engagement,number,ผู้ใช้ใหม่,จำนวนผู้ใช้ใหม่ใน window (นิยามในโค้ด: first_seen อยู่ภายในช่วง window),src/features.py::_compute_engagement_features
paid_delay_hours,Commerce,number,เวลาจ่ายช้า (ชม.),"ค่าเฉลี่ยชั่วโมงจาก create→paid ใน window (mean ของ paid_datetime - create_datetime, clip>=0)",src/features.py::_compute_commerce_features
payload,Export,object,ผลลัพธ์รวม,dict payload ที่เตรียมไว้สำหรับเขียน JSONL (source-of-truth คือ _to_payload ใน inference; ไฟล์ตัวอย่างใน repo อาจเป็น subset ของ schema ปัจจุบัน),src/infer.py::predict_with_drivers src/infer.py::save_predictions outputs/examples_last4_windows.json
points_per_completion,Derived,number,แต้มต่อ completion,แต้มต่อ completion ใน window (activity_points_sum / activity_completed_events),src/features.py::_add_relative_and_trend_features
predicted_health_class,Model,string,ระดับสุขภาพแบรนด์,คลาสที่โมเดลทำนาย (model.predict) เช่น Healthy/Warning/AtRisk,src/infer.py::predict_with_drivers
predicted_health_score,Model,number,คะแนนสุขภาพแบรนด์,คะแนนสุขภาพที่คำนวณจาก prob-weighted score map (CLASS_SCORE_MAP),src/infer.py::predict_with_drivers
predicted_health_statement,Model,string,ข้อความสรุป,ข้อความสรุปผลทำนาย (อาจเติมคำว่า borderline ตาม confidence+threshold),src/infer.py::_health_statement src/infer.py::predict_with_drivers
prob_AtRisk,Model,number,โอกาสเป็น เสี่ยงสูง,ความน่าจะเป็น (probability) ที่โมเดลให้กับคลาส AtRisk (จาก model.predict_proba),src/infer.py::predict_with_drivers
prob_Healthy,Model,number,โอกาสเป็น สุขภาพแบรนด์ดี,ความน่าจะเป็น (probability) ที่โมเดลให้กับคลาส Healthy (จาก model.predict_proba),src/infer.py::predict_with_drivers
prob_Warning,Model,number,โอกาสเป็น เริ่มน่ากังวล,ความน่าจะเป็น (probability) ที่โมเดลให้กับคลาส Warning (จาก model.predict_proba),src/infer.py::predict_with_drivers
recency_days_mean,Engagement,number,Recency เฉลี่ย (วัน),ค่าเฉลี่ย recency (จำนวนวันตั้งแต่ผู้ใช้มี event ล่าสุด) ใน snapshot นั้น,src/features.py::_compute_engagement_features
recency_days_median,Engagement,number,Recency มัธยฐาน (วัน),ค่ามัธยฐาน recency (จำนวนวันตั้งแต่ผู้ใช้มี event ล่าสุด),src/features.py::_compute_engagement_features
recency_days_p90,Engagement,number,Recency P90 (วัน),เปอร์เซ็นไทล์ที่ 90 ของ recency (จำนวนวันตั้งแต่ผู้ใช้มี event ล่าสุด),src/features.py::_compute_engagement_features
redeem_user_high_share,Activity,number,สัดส่วนผู้ใช้แลกมาก,สัดส่วนของ “ผู้ใช้ที่มี redeem proxy > 0” ที่อยู่ในกลุ่ม high (count>3) ภายใน window,src/features.py::_simulate_user_count_tiers src/features.py::_compute_activity_features
redeem_user_low_share,Activity,number,สัดส่วนผู้ใช้แลกน้อย,สัดส่วนของ “ผู้ใช้ที่มี redeem proxy > 0” ที่อยู่ในกลุ่ม low (count<=1) ภายใน window,src/features.py::_simulate_user_count_tiers src/features.py::_compute_activity_features
redeem_user_med_share,Activity,number,สัดส่วนผู้ใช้แลกกลาง,สัดส่วนของ “ผู้ใช้ที่มี redeem proxy > 0” ที่อยู่ในกลุ่ม med (2<=count<=3) ภายใน window,src/features.py::_simulate_user_count_tiers src/features.py::_compute_activity_features
repeat_purchase_rate,Commerce,number,อัตราซื้อซ้ำ,สัดส่วนผู้ซื้อที่ “ซื้อซ้ำ” ใน window (buyer ที่มี purchase > 1 ในช่วง window / buyers),src/features.py::_simulate_repeat_purchase_rate src/features.py::_compute_commerce_features
returning_user_share,Derived,number,สัดส่วนผู้ใช้กลับมา,สัดส่วนผู้ใช้ returning ต่อ active users ใน window (returning_users / active_users),src/features.py::_add_relative_and_trend_features
returning_users,Engagement,number,ผู้ใช้กลับมา,จำนวนผู้ใช้ returning ใน window (นิยาม: active_users - new_users),src/features.py::_compute_engagement_features
reward_efficiency,Derived,number,ประสิทธิภาพรางวัล,ประสิทธิภาพรางวัล (reward efficiency) ใน window (activity_completed_events / (abs(activity_points_sum) + 1)),src/features.py::_add_relative_and_trend_features
reward_efficiency_delta_window,Total Delta,number,ประสิทธิภาพรางวัล เปลี่ยนจากช่วงก่อน,ค่าเปลี่ยนแปลงของ reward_efficiency เทียบ window ก่อนหน้า (current - prev_window),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
reward_efficiency_mom_pct,Trends,number,ประสิทธิภาพรางวัล เทียบ 4 ช่วง,เปอร์เซ็นต์เปลี่ยนเทียบ 4 windows ก่อนหน้า (period=4) ของ reward_efficiency ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
reward_efficiency_prev_window,Total Delta,number,ประสิทธิภาพรางวัล ค่าเดิมช่วงก่อน,ค่า reward_efficiency ของ window ก่อนหน้า (shift=1 ภายใน brand_id+window_size),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
reward_efficiency_volatility,Trends,number,ประสิทธิภาพรางวัล ความผันผวน,ความผันผวน = rolling_std / abs(rolling_mean) ของ reward_efficiency ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
reward_efficiency_wow_pct,Trends,number,ประสิทธิภาพรางวัล เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนเทียบ window ก่อนหน้า (period=1) ของ reward_efficiency ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
reward_efficiency_wow_pct_window,Total Delta,number,ประสิทธิภาพรางวัล %เทียบช่วงก่อน,เปอร์เซ็นต์เปลี่ยนของ reward_efficiency เทียบ window ก่อนหน้า (delta/prev_window เมื่อ prev!=0; ไม่เช่นนั้นเป็น null),src/infer.py::_add_total_metric_deltas src/driver_mapping.py::METRIC_FAMILY_CONFIG
reward_efficiency_zscore,Trends,number,ประสิทธิภาพรางวัล ผิดปกติเทียบฐาน,z-score เทียบ baseline แบบ rolling ของ reward_efficiency ภายใน brand_id+window_size,src/features.py::_add_relative_and_trend_features
rfm_dormant_share,RFM,number,สัดส่วนไม่เคลื่อนไหว (RFM),สัดส่วนผู้ใช้ที่อยู่ในกลุ่ม recency tier แย่ (rec_tier <= 2) ตามนิยามในโค้ด,src/features.py::_compute_rfm_features
rfm_frequency_mean,RFM,number,RFM frequency เฉลี่ย,ค่าเฉลี่ย frequency ใน horizon 90 วันตามโค้ด (สะสมทั้งจำนวน purchase transactions และจำนวน completed activities ในตัวแปรเดียว),src/features.py::_compute_rfm_features
rfm_frequency_tier_1_pct,RFM,number,สัดส่วน ความถี่ tier 1,สัดส่วนผู้ใช้ที่อยู่ใน RFM frequency tier 1 (quantile tiers 1–5; higher tier ถือว่าดีกว่าในโค้ด),src/features.py::_quantile_tier src/features.py::_compute_rfm_features
rfm_frequency_tier_2_pct,RFM,number,สัดส่วน ความถี่ tier 2,สัดส่วนผู้ใช้ที่อยู่ใน RFM frequency tier 2 (quantile tiers 1–5; higher tier ถือว่าดีกว่าในโค้ด),src/features.py::_quantile_tier src/features.py::_compute_rfm_features
rfm_frequency_tier_3_pct,RFM,number,สัดส่วน ความถี่ tier 3,สัดส่วนผู้ใช้ที่อยู่ใน RFM frequency tier 3 (quantile tiers 1–5; higher tier ถือว่าดีกว่าในโค้ด),src/features.py::_quantile_tier src/features.py::_compute_rfm_features
rfm_frequency_tier_4_pct,RFM,number,สัดส่วน ความถี่ tier 4,สัดส่วนผู้ใช้ที่อยู่ใน RFM frequency tier 4 (quantile tiers 1–5; higher tier ถือว่าดีกว่าในโค้ด),src/features.py::_quantile_tier src/features.py::_compute_rfm_features
rfm_frequency_tier_5_pct,RFM,number,สัดส่วน ความถี่ tier 5,สัดส่วนผู้ใช้ที่อยู่ใน RFM frequency tier 5 (quantile tiers 1–5; higher tier ถือว่าดีกว่าในโค้ด),src/features.py::_quantile_tier src/features.py::_compute_rfm_features
